Time,HR (bpm),windows
0:08:45,163,window176
0:08:46,162,window176
0:08:47,162,window176
0:08:48,161,window177
0:08:49,159,window177
0:08:50,159,window177
0:08:51,159,window178
0:08:52,156,window178
0:08:53,155,window178
0:08:54,156,window179
0:08:55,156,window179
0:08:56,156,window179
0:08:57,156,window180
0:08:58,156,window180
0:08:59,155,window180
0:09:00,154,window181
0:09:01,152,window181
0:09:02,152,window181
0:09:03,151,window182
0:09:04,151,window182
0:09:05,151,window182
0:09:06,151,window183
0:09:07,151,window183
0:09:08,151,window183
0:09:09,151,window184
0:09:10,151,window184
0:09:11,151,window184
0:09:12,150,window185
0:09:13,149,window185
0:09:14,149,window185
0:09:15,149,window186
0:09:16,149,window186
0:09:17,149,window186
0:09:18,149,window187
0:09:19,149,window187
0:09:20,148,window187
0:09:21,148,window188
0:09:22,147,window188
0:09:23,147,window188
0:09:24,146,window189
0:09:25,146,window189
0:09:26,146,window189
0:09:27,145,window190
0:09:28,145,window190
0:09:29,146,window190
0:09:30,147,window191
0:09:31,148,window191
0:09:32,148,window191
0:09:33,149,window192
0:09:34,150,window192
0:09:35,150,window192
0:09:36,151,window193
0:09:37,151,window193
0:09:38,151,window193
0:09:39,152,window194
0:09:40,152,window194
0:09:41,153,window194
0:09:42,153,window195
0:09:43,153,window195
0:09:44,153,window195
0:09:45,154,window196
0:09:46,154,window196
0:09:47,155,window196
0:09:48,156,window197
0:09:49,157,window197
0:09:50,158,window197
0:09:51,159,window198
0:09:52,160,window198
0:09:53,161,window198
0:09:54,163,window199
0:09:55,163,window199
0:09:56,165,window199
0:09:57,166,window200
0:09:58,167,window200
0:09:59,168,window200
0:10:00,169,window201
0:10:01,170,window201
0:10:02,171,window201
0:10:03,172,window202
0:10:04,172,window202
0:10:05,173,window202
0:10:06,173,window203
0:10:07,174,window203
0:10:08,174,window203
0:10:09,174,window204
0:10:10,175,window204
0:10:11,175,window204
0:10:12,176,window205
0:10:13,176,window205
0:10:14,176,window205
0:10:15,176,window206
0:10:16,176,window206
0:10:17,176,window206
0:10:18,177,window207
0:10:19,177,window207
0:10:20,177,window207
0:10:21,177,window208
0:10:22,177,window208
0:10:23,177,window208
0:10:24,177,window209
0:10:25,177,window209
0:10:26,177,window209
0:10:27,177,window210
0:10:28,177,window210
0:10:29,177,window210
0:10:30,177,window211
0:10:31,177,window211
0:10:32,177,window211
0:10:33,177,window212
0:10:34,177,window212
0:10:35,177,window212
0:10:36,176,window213
0:10:37,176,window213
0:10:38,177,window213
0:10:39,176,window214
0:10:40,176,window214
0:10:41,176,window214
0:10:42,176,window215
0:10:43,176,window215
0:10:44,176,window215
0:10:45,176,window216
0:10:46,175,window216
0:10:47,174,window216
0:10:48,173,window217
0:10:49,172,window217
0:10:50,171,window217
0:10:51,171,window218
0:10:52,170,window218
0:10:53,170,window218
0:10:54,169,window219
0:10:55,168,window219
0:10:56,168,window219
0:10:57,168,window220
